cell	clone
10013087	10/15/16/48/50/52
10024267	54/57
10024358	54/57
10027883	66
10052021	0
10057032	3
10079426	19/29
10091119	8/11/12/14
10099456	18/36
10122807	59/60
10129389	31/32/33/41
10136919	30/35/37/45
10158863	46/51/56/62/74
10166773	10/15/16/48/50/52
10194819	0/1
10195527	0/3/6
10205539	2
10206551	2
10207249	0
10213130	0
10215770	3
10217319	3
10218242	5
10218792	0
10230491	8/11/12/14
10247575	18/36
10252449	47
10252863	42
10253831	39/40
10255253	18/36
10261923	42
10265247	18/36
10266245	18/36
10267552	18/36
10279306	31/32/33/41
10280021	55
10280390	55
10302587	10/15/16/48/50/52
10315715	10/15/16/48/50/52
10324829	1/4/9/13/17/24/27/34/43
10326595	64
10331497	68
10333297	66
10344801	54
9458826	0
9512150	38
9736683	18/36
9934953	8/11/12/14
9996001	46/51/56/62/76
9999676	46/51/56/62
