node	tissue
GL	P
0	P
3-13-21-69-295-606-657-681	P
3-13-21-69-295-606-657-681-P	P
860-P	P
950-P	P
86-113	P
86-113-P	P
414	P
414-P	P
947-P	P
949-P	P
580	P
580-P	P
680-819	P
680-819-P	P
903-P	P
791	P
791-P	P
948-P	P
160-223-235-643-M1	M1
79	M3
79-M3	M3
694	M3
694-M3	M3
852-M3	M3
941-M3	M3
953-M3	M3
957-M3	M3
958-M3	M3
960-M3	M3
93-242	M3
730-781	M3
730-781-M3	M3
875-M3	M3
914-M3	M3
934-M3	M3
935-M3	M3
936-M3	M3
94-123	M3
94-123-M3	M3
708-M3	M3
118	M3
118-M3	M3
272-425	M3
272-425-M3	M3
624-762	M3
624-762-M3	M3
956-M3	M3
955-M3	M3
317-332	M3
317-332-M3	M3
386	M3
386-M3	M3
800-M3	M3
553	M3
553-M3	M3
728-M3	M3
937-M3	M3
913-M3	M3
939-M3	M3
940-M3	M3
961-M3	M3
524	M3
524-M3	M3
870-M3	M3
959-M3	M3
911-M3	M3
193-260	M3
193-260-M3	M3
726-891-M3	M3
942-M3	M3
954-M3	M3
204-453-502-574-630-692-731	M3
204-453-502-574-630-692-731-M3	M3
154-M4	M4
531	M4
531-M4	M4
696	M4
696-M4	M4
810	M4
810-M4	M4
963-M4	M4
964-M4	M4
834	M4
834-M4	M4
965-M4	M4
835-855	M4
835-855-M4	M4
962-M4	M4
943-M4	M4
838-919-M5	M5
694-M7	M7
696-M9	M9
204-453-502-574-630-692-731-M11	M11
154	M4
57	M3
M2-0	M2
