cell	clone
15829390	60
16093826	58
16107973	58
16176388	10/12
16190522	48
16210400	20/22/25/28/29/33/35/40/42/44/50
16240315	58
16278442	80/86/87/89
16279778	84/85/90
16282883	80/86/87/89
16283205	51/53/54/67/69/70/75/77
16304646	0/2/3
16309640	0
16339625	5/14/17/18/19/21/23/30/34/36/37/43
16343648	5/14/17/18/19/21/23/30/34/36/37/43
16371195	47/49/56/57
16400705	78/79
16412013	26/31/38/39/46/52/66/72/74
16437736	0/6
16438444	0/1/4/9/11/13
16448456	0
16449468	2/3
16450166	2/3
16456047	2/3
16458687	8
16460236	6
16461159	1/4/9/11/13
16461709	0
16473408	5/14/17/18/19/21/23/30/34/36/37/43
16490492	20/22/25/28/29/33/35/40/42/44/50
16495366	20/22/25/28/29/33/35/40/42/44/50
16495780	20/22/25/28/29/33/35/40/42/44/50
16496748	20/22/25/28/29/33/35/40/42/44/50
16498170	59
16504840	20/22/25/28/29/33/35/40/42/44/50
16508164	20/22/25/28/29/33/35/40/42/44/50
16509162	20/22/25/28/29/33/35/40/42/44/50
16510469	20/22/25/28/29/33/35/40/42/44/50
16522223	63
16522938	47/49/56/57
16523307	65
16541433	26/31/38/39/46/52/66/72/74
16554661	26/31/38/39/46/52/66/72/74
16556501	83
16556713	83
16561886	26/31/38/39/46/52/66/72/74
16568430	51/53/54/67/69/70/75/77
16572542	51/53/54/67/69/70/75/77
16572610	84/85/90
16576132	84/85/90
