node	tissue	leaves	parent_node	parent_tissue	migration_event
0	t1	False			
1	t1	False	0	t1	False
2	t2	False	1	t1	True
3	t1	False	1	t1	False
4	t3	False	3	t1	True
5	t1	False	3	t1	False
6	t1	False	5	t1	False
7	t1	False	5	t1	False
8	t1	True	6	t1	False
9	t1	False	6	t1	False
10	t1	False	9	t1	False
11	t1	False	9	t1	False
12	t2	False	2	t2	False
13	t3	False	2	t2	True
14	t3	True	13	t3	False
15	t3	False	13	t3	False
16	t1	False	4	t3	True
17	t3	False	4	t3	False
18	t1	False	7	t1	False
19	t1	False	7	t1	False
20	t1	False	19	t1	False
21	t1	True	19	t1	False
22	t2	True	15	t3	True
23	t3	False	15	t3	False
24	t3	True	12	t2	True
25	t2	False	12	t2	False
26	t1	True	10	t1	False
27	t3	True	10	t1	True
28	t1	True	18	t1	False
29	t1	True	18	t1	False
30	t3	True	23	t3	False
31	t1	True	23	t3	True
32	t1	True	16	t1	False
33	t1	True	16	t1	False
34	t2	False	25	t2	False
35	t2	True	25	t2	False
36	t1	False	11	t1	False
37	t1	True	11	t1	False
38	t2	True	34	t2	False
39	t2	True	34	t2	False
40	t1	False	20	t1	False
41	t1	True	20	t1	False
42	t1	True	36	t1	False
43	t1	True	36	t1	False
44	t1	True	40	t1	False
45	t1	True	40	t1	False
46	t3	True	17	t3	False
47	t3	False	17	t3	False
48	t3	True	47	t3	False
49	t3	True	47	t3	False
