cell	clone
7259648	44
7272421	72
7300735	0/1/6
7338786	19
7392514	0/2/3
7416061	33/36
7423821	7/10/23
7450237	0/1/4/12/16/21/24
7485757	0/2/3
7494416	0/2/3
7526029	7/10/23
7556617	37/48/52/58/61/65/66/69
7563076	72
7566315	72
7570195	80
7643403	46
7653035	51/70/77/81
7670582	76
7676152	0/2/3
7677099	0/2/3
7677807	0/1/5
7683506	0/1/5
7687819	0/1/5
7688831	0/2/3
7689529	0/2/3
7695410	9
7698050	9
7699599	0/2/3
7700522	0/2/3
7701072	0/1/8
7712771	7/10/23
7727323	19/44
7729855	19
7731443	19
7731572	0/1/4/12/16/21/24
7734729	19
7735143	43
7736111	0/1/4/12/16/21/24
7737533	19
7744203	0/1/4/12/16/21/24
7747527	0/1/4/12/16/21/24
7748525	0/1/4/12/16/21/24
7749832	0/1/4/12/16/21/24
7753913	51/70/77/81
7755528	37/48/52/58/61/65/66/69/72
7761586	72
7761591	75
7762301	37/48/52/58/61/65/66/69
7762670	37/48/52/58/61/65/66/69
7767174	71
