cell	clone
10059268	29/33/34
10132366	10/17/21
10144090	35
10158410	16/18
10170435	37/38
10219739	5
10224738	5
10232835	6/7
10246951	10/17/21/27
10258711	27
10271187	35
10276216	31
10296732	37
10304087	38
10304255	29/33/34
10313791	47/50/63/64/72
10315015	47/50/63/64/72
10325330	8/12/14/15/20/30/43/46/51
10334452	0/1/2
10335160	11
10345172	13
10346184	0/1/2
10346882	4
10352763	0/1/2
10355403	0/1/2
10356952	3
10357875	9
10358425	5
10370124	10/17/21/23/24
10384676	10/17
10387208	16/18/31
10388796	16/18
10392082	36
10392496	16/18
10393464	35
10394886	16/18
10401556	16/18
10404880	31
10405878	35
10407185	16/18
10412881	29/33/34
10418939	29/33/34
10418944	37
10419654	37
10420023	38
10438149	47/50/63/64/72
10451377	8/12/14/15/20/30/43/46/51
10453217	65/69
10453429	65/69
10458602	59
9910506	35
