node	tissue
GL	P
0	P
11	P
149	P
149-P	P
167-188	P
167-188-P	P
322-859-P	P
768-P	P
929-P	P
318	P
733-P	P
766	P
766-P	P
930-P	P
45-49-99	P
169	P
246-389-403	P
246-389-403-P	P
391	P
391-P	P
628-705-P	P
843-P	P
904-P	P
928-P	P
182	M1
240-275	M1
240-275-M1	M1
633	M1
633-M1	M1
907-M1	M1
908-M1	M1
877	M1
877-M1	M1
931-M1	M1
932-M1	M1
933-M1	M1
486-690	M1
486-690-M1	M1
906-M1	M1
11-M2	M2
506-M2	M2
552-M2	M2
891-M2	M2
910-M2	M2
934-M2	M2
939-M2	M2
177-215-466-M4	M4
559	M4
559-M4	M4
701-746	M4
701-746-M4	M4
896-M4	M4
915-M4	M4
916-M4	M4
747	M4
747-M4	M4
798	M4
798-M4	M4
950-M4	M4
871-M4	M4
948-M4	M4
949-M4	M4
763	M4
763-M4	M4
951-M4	M4
952-M4	M4
947-M4	M4
601-M5	M5
748-M5	M5
825-M5	M5
898-M5	M5
899-M5	M5
920-M5	M5
921-M5	M5
953-M5	M5
954-M5	M5
127-235-M7	M7
902	M7
902-M7	M7
958-M7	M7
925-M7	M7
957-M7	M7
959-M7	M7
960-M7	M7
611-M8	M8
858	M8
858-M8	M8
887-927-M8	M8
926-M8	M8
961-M8	M8
177-215-466	M4
611	M8
127-235	M7
601	M5
M3-0	M3
M2-0	M2
23-63-73-87-97	M1
