cell	clone
7961026	1
7969591	7/10/13/14/16/20/21/22/24/25/31
8074706	7/10/13/14/16/20/21/22/24/25/31
8119966	44/47/49/50/61
8202753	36/48/54/57
8336289	17/19/40/51/58/68
8357711	0
8383241	27
8400474	7/10/13/14/16/20/21/22/24/25/31
8432036	36/48/52/56
8457825	66
8485189	0
8529984	7/10/13/14/16/20/21/22/24/25/31
8547188	36/48/52/56
8548281	36/48/52/56
8570960	65/67
8583880	0
8597965	4/9/33/35/39/46/62
8600324	0
8604011	5/6
8604330	1
8634374	7/10/13/14/16/20/21/22/24/25/31
8637742	45
8640497	7/10/13/14/16/20/21/22/24/25/31
8650444	7/10/13/14/16/20/21/22/24/25/31
8651479	7/10/13/14/16/20/21/22/24/25/31
8652784	7/10/13/14/16/20/21/22/24/25/31
8665171	36/48/52/56
8670024	36/48/52
8702820	0/5/6
8703343	0
8706000	0
8706816	0
8717178	0
8720187	0
8736579	26/30
8744319	1
8748319	34
8756691	7/10/13/14/16/20/21/22/24/25/31
8766100	7/10/13/14/16/20/21/22/24/25/31
8770901	42
8776038	7/10/13/14/16/20/21/22/24/25/31
8779970	36/48/54/57
8786606	36/48/52
8790039	36/48/52
8793994	36/48/53/55
8794165	36/48/53/55
8804064	17/19/40/51/58/64
8805664	17/19/40/51/58/64
8817065	44/47/49/50/61
