node	tissue
GL	P
0	P
0-P	P
1-P	P
2-3-4	P
4-P	P
31	M1
32	M1
35-41-44-48-55-60	M1
78-P	P
95-P	P
28-30-M1	M1
44-48-55-60-M1	M1
63	M1
68-M1	M1
88	M1
88-M1	M1
94-M1	M1
82-M2	M2
87-M2	M2
93-M2	M2
38-40-42-65-72	M3
65-72-M3	M3
75-M3	M3
34-M4	M4
45-M4	M4
50-M4	M4
36-37-39-49-51-M5	M5
46-54-M5	M5
66-M5	M5
63-M6	M6
5-9-10-11-12-16-22-24-27-33-52-53-59-74-81-84-86-M7	M7
102-M7	M7
83-99-M7	M7
43-56-57-58-71-77-80-82	M2
78	P
46-54	M5
34	M4
5-9-10-11-12-16-22-24-27-33-52-53-59-74-81-84-86	M7
6-13-14-15-19-20-21-25-26-29	M3
7-8-17-18-23-28-30	M1
