cell	clone
6323283	58/60
6394410	6/9/16/18
6403836	15
6438684	7
6616754	1/2
6636781	13/14
6692632	21
6719903	6/9
6753834	0
6766995	0
6801439	6/9
6820432	8/11/27
6824327	7
6834432	4/12
6871284	6/9
6872925	6/9
6877466	6/9
6879119	15
6887730	0
6888438	1/2
6898450	0
6899462	0
6900160	0
6906041	0
6908681	0
6910230	0
6911153	0
6911703	0
6923402	6/9/15
6940486	6/9
6945360	6/9
6945774	6/9
6946742	13/14
6948164	6/9
6954834	6/9
6958158	15
6959156	6/9
6960463	15
6972217	23
6972932	4/12/19
6973301	7
6991427	6/9
7004655	6/9
7006495	56
7006707	56
7011880	57
7018424	6/9
7022536	6/9
7022604	6/9
7026126	15
