cell	clone
7094920	3/16
7110108	14/15/18
7293802	0
7296955	1/2
7313100	12/13/26/29/48
7356331	32
7393342	33
7410309	0
7448620	12/13/26/29/48
7452647	12/13/26/29/48
7460925	3/16
7470271	37
7480294	14/15/18
7494283	14/15/18
7498442	14/15/18
7508329	6/25/33
7509931	6/25/33
7529667	46/64/66/70/72
7531824	0/4
7532532	0/4
7542544	0
7543556	0
7544254	8
7550135	4
7552775	1/2/6
7554324	0
7555247	0
7555797	9/10/11/19/31
7567496	9/10/11/19/31
7582048	3/16
7584580	7/21/28
7586168	3/16
7589454	3/16
7589868	37
7590836	3/16
7592258	3/16
7598928	3/16
7602252	3/16
7603250	38
7604557	3/16
7610253	35
7616311	14/15/18
7616316	14/15/18
7617026	14/15/18
7617395	14/15/18
7635521	6/25/33
7648749	6/25
7650589	33
7650801	33
7655974	6/25
