node	tissue
GL	P
0	P
0-P	P
3	P
3-P	P
25-32	P
65	P
65-P	P
727-P	P
83-308	P
83-308-P	P
615-P	P
191	P
191-P	P
730-P	P
303	P
303-P	P
673-P	P
691-P	P
319	P
319-P	P
672-P	P
412-512	P
412-512-P	P
715-P	P
498-636-P	P
538-P	P
573-P	P
586-P	P
8	P
8-P	P
13	P
13-P	P
94-124-P	P
263	P
263-P	P
541-P	P
457-P	P
535	P
535-P	P
722-P	P
14	P
14-P	P
38-102	P
38-102-P	P
543-P	P
593-P	P
630	P
630-P	P
680-P	P
693-P	P
88	P
316-P	P
546-P	P
103	P
213-P	P
507-P	P
205	P
205-P	P
576-688-P	P
290	P
290-P	P
678-P	P
411-616-P	P
585-P	P
726-P	P
723-P	P
9-42	P
9-42-P	P
542	P
542-P	P
640	P
640-P	P
719-P	P
682-P	P
728-P	P
15	P
15-P	P
112	P
112-P	P
725-P	P
289	P
289-P	P
592-P	P
635-P	P
324-P	P
502-P	P
528-610-P	P
622-P	P
681-P	P
690-P	P
714-P	P
717-P	P
720-P	P
26-P	P
39	P
39-P	P
207-238	P
207-238-P	P
294	P
294-P	P
624-P	P
549-P	P
638-P	P
674-P	P
716-P	P
447	P
447-P	P
614-P	P
504	P
504-P	P
718-P	P
587-P	P
613-P	P
644-P	P
724-P	P
57	P
57-P	P
501-609-P	P
78-450-P	P
92-149-298-382-P	P
151	P
151-P	P
572-P	P
689-P	P
152-273	P
152-273-P	P
444-P	P
208-P	P
235	P
235-P	P
485-P	P
539-P	P
627-P	P
262	P
262-P	P
365	P
365-P	P
446-P	P
500-P	P
309	P
309-P	P
391-P	P
345	P
345-P	P
729-P	P
414-P	P
499-P	P
677-P	P
684-P	P
721-P	P
14-M1	M1
466-M1	M1
695-M1	M1
697-M1	M1
732-M1	M1
155	M1
155-M1	M1
427-M1	M1
518-M1	M1
647-M1	M1
651-M1	M1
737-M1	M1
738-M1	M1
3-M2	M2
25-32-M2	M2
601-M2	M2
37-M2	M2
156	M2
156-M2	M2
258	M2
258-M2	M2
431-M2	M2
471-M2	M2
519-M2	M2
557-M2	M2
285	M2
285-M2	M2
474-M2	M2
560	M2
560-M2	M2
740-M2	M2
564	M2
564-M2	M2
702-M2	M2
744-M2	M2
745-M2	M2
467	M2
467-M2	M2
741-M2	M2
468-M2	M2
561-597-M2	M2
700-M2	M2
231	M2
231-M2	M2
699-M2	M2
739-M2	M2
306-M2	M2
429-M2	M2
520-M2	M2
598	M2
598-M2	M2
742-M2	M2
599-M2	M2
602	M2
602-M2	M2
743-M2	M2
604-M2	M2
606-704-M2	M2
657-M2	M2
660-M2	M2
698-M2	M2
701-M2	M2
705	M2
705-M2	M2
747-M2	M2
746-M2	M2
39-M3	M3
140-146-287-M4	M4
374	M4
374-M4	M4
661-M4	M4
569	M4
569-M4	M4
749-M4	M4
750-M4	M4
748-M4	M4
570-M5	M5
96-115-434-M5	M5
9-42-M5	M5
132-M5	M5
433-M5	M5
666	M5
666-M5	M5
709-M5	M5
260	M5
260-M5	M5
327	M5
327-M5	M5
708-M5	M5
754-M5	M5
751-M5	M5
752-M5	M5
753-M5	M5
755-M5	M5
756-M5	M5
757-M5	M5
713-M6	M6
504-M6	M6
390-M6	M6
436-M7	M7
260-M7	M7
65-M8	M8
39-M8	M8
57-M8	M8
M6-3	P
M2-0	M2
M5-1	P
132	M5
140-146-287	M4
37	M2
M1-1	M1
