cell	clone
7577085	32
7775117	41/42/49/58
7963860	52/61
8147597	1
8272339	19/38
8307968	18/22/25/29/37/45
8314624	7
8349159	1
8392872	40
8542859	8/9/12
8546928	10/11
8585210	32
8609860	63
8615379	41/42/49/58
8624783	65
8625473	41/42/49/58
8650525	16/17
8651552	14/15/21/26/27/31/33
8653616	16/17
8668445	16/17
8695584	0/1
8706304	0
8707316	1
8713895	2
8716535	1
8719007	1
8719557	0
8731256	10/11/14/15
8748340	24/30
8753214	32/35
8753628	32
8756018	35
8762688	32
8766012	32
8767010	24/30
8768317	35
8780071	32
8781155	32
8814349	41/42/49/58
8814561	63
8819734	41/42/49/58
8830458	41/42/49/58
8833980	41/42/49/58
8851292	63
8852593	16/17
8862932	16/17
8865335	16/17
8868231	14/15/21/26/27/31/33
8877283	43/44
8898767	18/22/25/29/37/45/56
