cell	clone
5822153	44
5863458	42/43
6037535	4
6249240	46
6264860	11/19/20/22/29/35
6324018	9/18
6335487	23
6362218	42/43
6371308	42/43
6377936	42/43
6419522	10/12/14/16/21/30
6438577	3
6446613	4
6450942	9/18
6500116	47
6541130	15/25
6549760	13/17/24/26/28/32/40/45/52
6554444	58
6557845	0
6558553	5
6568565	6/8
6569577	6
6570275	4
6576156	1
6578796	5
6580345	4
6581268	8
6581818	9/18
6593517	9/18
6608069	42/43
6610601	42/43
6612189	42/43
6615475	42/43
6615889	42/43
6616857	44
6618279	42/43
6624949	42/43
6628273	42/43
6629271	42/43
6630578	42/43
6636274	42/43
6642332	42/43
6643047	42/43
6643416	42/43
6661542	15/25
6674770	15/25
6676610	15/25
6676822	38
6681995	34/36
6688539	10/12/14/16/21/30
