node	tissue
GL	P
0-2-106-136-163	P
228-254-259-316	P
228-254-259-316-P	P
459-707	P
459-707-P	P
888-P	P
614-667	P
614-667-P	P
846-871-P	P
637-780	P
637-780-P	P
868-P	P
915-P	P
660	P
660-P	P
730	P
730-P	P
873-P	P
758-P	P
781	P
781-P	P
810-P	P
916-P	P
811-869-P	P
892-P	P
267	P
351	P
633-761	P
633-761-P	P
920-P	P
843-P	P
363	P
363-P	P
609	P
609-P	P
787	P
787-P	P
919-P	P
611-P	P
753-P	P
356	P
356-P	P
634-P	P
812	P
812-P	P
917-P	P
918-P	P
440-684-P	P
0-2-106-136-163-M1	M1
331-378-M1	M1
372-461-M1	M1
792-M1	M1
797-M1	M1
856-M1	M1
289-327	M2
289-327-M2	M2
478	M2
478-M2	M2
623-M2	M2
902-M2	M2
543	M2
715	M2
715-M2	M2
800-829-M2	M2
858-M2	M2
650-672-M2	M2
930-M2	M2
454-M4	M4
465-604	M4
699	M4
699-M4	M4
864-M4	M4
775	M4
775-M4	M4
910-M4	M4
527	M4
527-M4	M4
933-M4	M4
566-805	M4
566-805-M4	M4
885-M4	M4
676	M4
676-M4	M4
835-M4	M4
908-M4	M4
909-M4	M4
934-M4	M4
660-M7	M7
841-M7	M7
289-327-M8	M8
543-M8	M8
M7-0	M7
350	M4
M1-0	M1
