node	tissue
GL	P
0	P
3-9-39	P
65-86-92-129	P
370-568-659-993-P	P
553	P
553-P	P
810-900-P	P
599-743	P
599-743-P	P
994-P	P
1014-P	P
88-122	P
193	P
461-513	P
901-P	P
501-516	P
501-516-P	P
794	P
862-P	P
904-926-P	P
882	P
882-P	P
943-1036-P	P
1056-P	P
971-P	P
1013-P	P
1057-P	P
1058-P	P
241	M2
383-474-546-807-915	M2
383-474-546-807-915-M2	M2
1069-M2	M2
411-448	M2
411-448-M2	M2
522	M2
801-M2	M2
867-909-M2	M2
605-888	M2
605-888-M2	M2
978-M2	M2
1066-M2	M2
1002	M2
1002-M2	M2
1067-M2	M2
473	M2
473-M2	M2
701-773	M2
701-773-M2	M2
751	M2
751-M2	M2
1004-M2	M2
1022-1043-M2	M2
1068-M2	M2
1073-M2	M2
772	M2
772-M2	M2
1021-M2	M2
1041-M2	M2
1042-M2	M2
818	M2
818-M2	M2
1063-M2	M2
1064-M2	M2
891-911-M2	M2
892-M2	M2
958-M2	M2
1044-M2	M2
1062-M2	M2
1065-M2	M2
1070-M2	M2
1071-M2	M2
1072-M2	M2
461-513-M5	M5
968-M5	M5
1079-M5	M5
501-516-M6	M6
701-773-M9	M9
M5-2	M5
M1-0	M1
