cell	clone
4633283	0
4645471	1/2/10/13/31/46/49/50
4714298	8/17/28/51/55
4722687	0
4784102	50
4792550	15/23/26/29
4812355	37/40/42
4863167	58
4874747	1/2/10/13/31/46/49
4902127	15/23/26/29
4906029	15/23/26/29
4912555	6/12/16/25/35
4934357	0
4956009	3
5001145	50
5005929	50
5025015	6/12/16/25/35
5029135	41
5038298	8/17/28/51/55
5038704	8/17/28/51/55
5045315	0
5046023	0
5056035	4
5057047	0
5057745	0
5063626	0
5066266	0
5067815	0
5068738	0
5069288	0
5080987	1/2/10/13/31/46/49/50
5095539	50
5098071	50
5099659	57
5102945	1/2/10/13/31/46/49
5103359	54
5104327	57
5105749	54
5112419	57
5115743	50
5116741	1/2/10/13/31/46/49
5118048	54
5123744	6/12/16/25/35/37/40/42
5129802	15/23/26/29
5129807	15/23/26/29
5130517	6/12/16/25/35
5130886	15/23/26/29
5135390	15/23/26/29
5147564	8/17/28/51/59
5149012	74/77
