node	tissue
GL	P
0-4-61	P
177-183-197-234-266-527	P
177-183-197-234-266-527-P	P
641	P
738-940-974-P	P
783-878	P
783-878-P	P
1015-P	P
1016	P
1016-P	P
1106-P	P
1085-P	P
824-1027	P
824-1027-P	P
1107-P	P
873-P	P
926-P	P
210-213-386-451-455-466-507-534	P
210-213-386-451-455-466-507-534-P	P
1040-P	P
171	M1
174-349	M1
398-461	M1
602-687-701-724-769-777	M1
602-687-701-724-769-777-M1	M1
910	M1
910-M1	M1
1001-M1	M1
1112-M1	M1
535-592-635-805	M1
535-592-635-805-M1	M1
930-998-1058-1071-M1	M1
1110-M1	M1
1111-M1	M1
205-390-766-795-811	M1
205-390-766-795-811-M1	M1
852-929	M1
852-929-M1	M1
978	M1
978-M1	M1
1041-M1	M1
1087-M1	M1
1088	M1
1088-M1	M1
1108-M1	M1
1090	M1
1090-M1	M1
1109-M1	M1
1070-M1	M1
326-341-475-488-M2	M2
727-801	M2
727-801-M2	M2
953	M2
953-M2	M2
1072-M2	M2
1116-M2	M2
1062	M2
1062-M2	M2
1093-M2	M2
1114-M2	M2
1004-1028-M2	M2
1021-M2	M2
1060	M2
1060-M2	M2
1113-M2	M2
1075-M2	M2
1115-M2	M2
1117-M2	M2
631-711	M3
631-711-M3	M3
810	M3
934	M3
934-M3	M3
988	M3
988-M3	M3
1023-M3	M3
1032-M3	M3
1099-M3	M3
1006-M3	M3
1094-M3	M3
1098-M3	M3
1118-M3	M3
1119-M3	M3
662-859-M4	M4
1010	M4
1010-M4	M4
1050-M4	M4
1067	M4
1067-M4	M4
1121-M4	M4
1120-M4	M4
1078-M4	M4
712	M5
712-M5	M5
792	M5
924-1037	M5
1079-M5	M5
1080-M5	M5
972	M5
972-M5	M5
1036-M5	M5
1051-M5	M5
948-M7	M7
953-M9	M9
1125-M9	M9
M6-0	M6
M7-0	P
M9-0	M9
662-859	M4
326-341-475-488	M2
