cell	clone
9005544	20
9143818	0
9221393	1/4
9251677	10/17/22/23/30/45
9253964	10/17/22/23/30/45
9262270	10/17/18
9284326	60/66
9312434	0
9319280	1
9373006	18
9375193	6/7/15/19/51
9380240	6/7/15/19/51
9384107	6/7/15/19/51
9390655	6/7/15/19/51
9394117	67
9394332	6/7/15/19/51
9397961	0
9398908	0
9399616	5
9405315	2
9409628	1
9410640	0
9411338	0
9417219	4
9419859	4
9421408	0
9422331	1
9422881	0
9434580	10/17/22/23/30/45/54
9446601	10/17/18
9449132	10/17/18
9451664	10/17/18
9453252	10/17/20
9453381	10/17
9456538	10/17
9456952	10/17
9457920	26
9458592	10/17
9459342	10/17
9466012	28
9469336	18
9470334	6/7/15/19/51/67
9471641	67
9475722	6/7/15/19/51
9477337	6/7/15/19/51
9483395	6/7/15/19/51
9483400	6/7/15/19/51
9484110	64/68
9484479	67
9488983	6/7/15/19/51
