node	tissue
GL	P
0	P
2-4	P
2-4-P	P
10-17-22-157-398	P
10-17-22-157-398-P	P
630	P
630-P	P
724	P
724-P	P
945-P	P
754-P	P
23-44	P
23-44-P	P
201	P
201-P	P
340	P
706	P
706-P	P
953-P	P
864-P	P
481	P
481-P	P
906-P	P
956-P	P
957-P	P
643-P	P
967-P	P
255-483	P
255-483-P	P
712	P
712-P	P
964-P	P
714-P	P
912-P	P
24-37-126	P
24-37-126-P	P
625-P	P
772-P	P
36-79	P
91	P
189	P
189-P	P
691	P
691-P	P
919-P	P
729	P
729-P	P
950-P	P
837-P	P
898-P	P
907	P
907-P	P
958-P	P
949-P	P
227	P
227-P	P
595-P	P
879-P	P
300	P
562	P
562-P	P
961-P	P
383	P
383-P	P
470-P	P
733-P	P
647-P	P
15	P
15-P	P
186-303-623-660-744	P
186-303-623-660-744-P	P
952-P	P
369	P
369-P	P
530	P
530-P	P
973-P	P
962-P	P
455-610-P	P
543	P
543-P	P
576-P	P
646	P
667	P
667-P	P
730-P	P
689	P
689-P	P
975-P	P
828-P	P
915	P
915-P	P
966-P	P
965-P	P
16	P
389	P
389-P	P
970-P	P
637	P
637-P	P
781	P
781-P	P
959-P	P
960-P	P
31	P
31-P	P
263-292	P
548-P	P
663	P
663-P	P
904-P	P
954-P	P
750	P
750-P	P
878-P	P
955-P	P
293-391-501	P
293-391-501-P	P
827	P
827-P	P
948-P	P
918-P	P
442	P
442-P	P
880-P	P
525	P
525-P	P
775-P	P
914-P	P
618-P	P
669-P	P
787-P	P
32	P
32-P	P
82	P
82-P	P
540-P	P
688	P
688-P	P
951-P	P
900-P	P
974-P	P
200	P
739	P
739-P	P
927-P	P
876-P	P
256-600	P
256-600-P	P
665	P
665-P	P
784	P
784-P	P
946-P	P
450	P
450-P	P
701-755	P
701-755-P	P
972-P	P
947-P	P
529	P
529-P	P
829	P
872	P
872-P	P
963-P	P
899-P	P
924-P	P
645-P	P
698	P
698-P	P
917-P	P
922-P	P
53-131-215-333	P
53-131-215-333-P	P
779	P
779-P	P
868	P
868-P	P
902-P	P
969-P	P
57	P
299	P
299-P	P
575	P
575-P	P
752-P	P
841-P	P
968-P	P
696-P	P
844-P	P
128	P
128-P	P
925-P	P
926-P	P
214-452	P
214-452-P	P
971-P	P
245-P	P
380	P
593	P
593-P	P
913-P	P
513-P	P
751-P	P
36-79-M1	M1
984-M1	M1
573-M1	M1
855-M1	M1
306	M1
306-M1	M1
349-428	M1
349-428-M1	M1
800-M1	M1
806	M1
806-M1	M1
979-M1	M1
931-M1	M1
980-M1	M1
981-M1	M1
715-M1	M1
760-M1	M1
761-802-M1	M1
763-853-M1	M1
804-884-M1	M1
805-M1	M1
852-M1	M1
882	M1
882-M1	M1
976-M1	M1
883-M1	M1
885-M1	M1
886	M1
886-M1	M1
983-M1	M1
928-M1	M1
977-M1	M1
978-M1	M1
982-M1	M1
300-M3	M3
720-M3	M3
938-M3	M3
313-M3	M3
558	M3
558-M3	M3
860-M3	M3
939-M3	M3
1003-M3	M3
894-M3	M3
201-M4	M4
861-M4	M4
1004-M4	M4
1005-M4	M4
380-M4	M4
616-M4	M4
818-M4	M4
1006-M4	M4
349-428-M5	M5
820-M5	M5
944-M5	M5
665-M6	M6
23-44-M7	M7
543-M8	M8
M5-0	M5
M1-0	M1
573	M1
M4-0	M4
M4-1	M4
313	M3
M3-1	M3
M2-0	M2
