node	tissue
GL	P
0-1	P
0-1-P	P
2	P
2-P	P
8	P
8-P	P
9-13	P
9-13-P	P
40-44	P
47	P
47-P	P
684-P	P
52-423-P	P
101-265-P	P
195	P
195-P	P
697-P	P
212-P	P
54	P
163-P	P
361	P
361-P	P
594-P	P
604-P	P
606-P	P
686-P	P
388-P	P
473-P	P
15	P
15-P	P
34	P
34-P	P
133	P
133-P	P
682-P	P
337-451-P	P
462	P
462-P	P
601-P	P
523-P	P
643	P
643-P	P
689-P	P
62-329	P
62-329-P	P
549	P
549-P	P
560-P	P
687-P	P
698-P	P
80-P	P
126	P
126-P	P
291-P	P
545	P
545-P	P
691-P	P
148	P
148-P	P
676-P	P
233	P
233-P	P
338	P
338-P	P
464	P
464-P	P
553-P	P
517	P
517-P	P
677-P	P
508	P
508-P	P
695-P	P
239	P
239-P	P
448	P
448-P	P
692-P	P
685-P	P
447-P	P
559-P	P
644-P	P
696-P	P
335	P
335-P	P
547-P	P
569	P
569-P	P
678-P	P
371-391-556-P	P
637-P	P
10-17-56-227	P
10-17-56-227-P	P
599-P	P
14	P
14-P	P
146-374-P	P
363	P
363-P	P
452-P	P
375-P	P
396-P	P
557-P	P
679-P	P
680-P	P
690-P	P
693-P	P
36-130-165	P
209	P
209-P	P
551-P	P
552-P	P
261	P
261-P	P
681-P	P
65-140-173-305	P
65-140-173-305-P	P
603-P	P
89	P
89-P	P
298-411-P	P
522-P	P
138-P	P
177-512-P	P
234-376	P
234-376-P	P
683-P	P
566-P	P
688-P	P
694-P	P
14-M1	M1
476-M1	M1
570-608-M1	M1
645-M1	M1
699-M1	M1
700-M1	M1
22-M2	M2
179	M2
179-M2	M2
435-574-M2	M2
610-M2	M2
704-M2	M2
318-649-M2	M2
436	M2
436-M2	M2
479-M2	M2
525	M2
525-M2	M2
646-M2	M2
528-M2	M2
576-M2	M2
609	M2
609-M2	M2
702-M2	M2
650-M2	M2
651-M2	M2
701-M2	M2
703-M2	M2
705-M2	M2
706-M2	M2
707-M2	M2
8-M3	M3
159-180-M3	M3
294-381-M3	M3
379-M3	M3
403-M3	M3
536-M3	M3
537-M3	M3
540-M3	M3
620-M3	M3
657-M3	M3
660-M3	M3
713-M3	M3
14-M3	M3
197-M3	M3
483-653-M3	M3
712-M3	M3
0-1-M4	M4
60-256-M4	M4
444	M4
444-M4	M4
625-M4	M4
541	M4
541-M4	M4
585	M4
585-M4	M4
718-M4	M4
586-M4	M4
623-664-M4	M4
721-M4	M4
15-M4	M4
62-329-M4	M4
670-M4	M4
224-M4	M4
280-M4	M4
328-M4	M4
626-M4	M4
716-M4	M4
719-M4	M4
507-M4	M4
717-M4	M4
628-M4	M4
720-M4	M4
179-M5	M5
221-M5	M5
272-503-M7	M7
34-M7	M7
643-M9	M9
549-M9	M9
507	M4
M7-1	P
M4-1	M4
M4-2	M4
M1-0	M1
M3-0	M3
M4-3	M4
60-256	M4
M3-1	M3
22	M2
