node	tissue
GL	P
0	P
98	P
98-P	P
777-796	P
777-796-P	P
867	P
867-P	P
1049-P	P
906-P	P
840-866	P
840-866-P	P
865	P
865-P	P
1050-P	P
101-189	P
313-422-503	P
313-422-503-P	P
1027-P	P
674	P
674-P	P
868-P	P
1030-P	P
1031-P	P
741-P	P
823	P
823-P	P
1007	P
1007-P	P
1029-P	P
1048-P	P
840-866-M3	M3
823-M3	M3
212-237	M3
212-237-M3	M3
786-M3	M3
951	M3
951-M3	M3
1037-M3	M3
1053-M3	M3
1014-M3	M3
1039-M3	M3
266	M3
266-M3	M3
877-M3	M3
969-M3	M3
1013-M3	M3
212-237-M6	M6
1023-M6	M6
1056-M6	M6
1057-M6	M6
1058-M6	M6
212-237-M9	M9
1046-M9	M9
674-M10	M10
M9-0	M9
M6-0	M6
166	M3
M1-0	M1
