cell	clone
8250545	12/17/35
8650415	11/14
8916829	11/14
8921043	21
8930723	6/13/19/29
9015729	18/20/22
9023774	12/17
9090026	0
9095046	0
9103211	0
9117539	0
9125224	0
9148783	12/17
9160696	11/14
9167290	21
9186324	6/13/24
9197805	6/13
9206207	9/15/16/38
9207504	0
9208212	0
9218224	1
9219236	0
9219934	0
9225815	0
9228455	0
9230004	0
9230927	0
9231477	3
9243176	5/7/8
9257728	12/17
9260260	18/20/22/36
9261848	18/20/22/33
9265134	12/17
9265548	12/17
9266516	34
9267938	12/17
9274608	12/17
9277932	12/17
9278930	12/17
9280237	12/17
9285933	21
9291991	23
9291996	23
9292706	21
9293075	11/14
9311201	6/13/19/31
9324429	6/13
9326269	24
9326481	19/29
9331654	24
