cell	clone
8936161	54/59
9025941	5/10/12/16
9078998	2/29/34/41/49
9080587	52/53
9170244	42
9255162	1/6/9/31/33/38/46/48/51/81
9266240	0
9271199	0
9279350	0
9299507	15/24/28/39
9405213	44/45/64
9410325	44/45/64
9465757	15/24/28/39
9493894	3/7/22
9500540	4/13
9519615	1/18
9531046	1/18
9549854	54/59
9570469	44/45/64
9572672	0/1
9573380	0
9583392	0
9584404	0
9590983	0
9593623	0
9595172	0
9596095	0
9596645	0
9608344	15/24/28/39
9625428	15/24/28/39
9630302	15/24/28/39
9630716	42
9631684	15/24/28/39
9633106	42
9639776	15/24/28/39
9643100	15/24/28/39
9644098	15/24/28/39
9645405	15/24/28/39
9657159	1/8/11
9657874	4/13
9658243	4/13
9691437	1/18
9691649	27/30
9696822	1/18
9707546	2/29/34/41/49
9711068	54/59
9723992	44/45/64
9725402	44/45/64
9728380	44/45/64
9729681	44/45/64
